New Terminal Output:

Shortest synonyms for key words:
curious (7) -> odd (3)
unsought (8) -> unsought (8)
veteran (7) -> dated (5)
abnormal (8) -> unusual (7)
college (7) -> school (6)
unknown (7) -> unknown (7)
hostile (7) -> hostile (7)
intimate (8) -> close (5)
plagiaristic (12) -> copied (6)
suppressions (12) -> censorings (10)
infinite (8) -> endless (7)
fundamental (11) -> basic (5)
decencies (9) -> manners (7)
admission (9) -> admission (9)
Conduct (7) -> conduct (7)
marshes (7) -> bogs (4)
attention (9) -> focus (5)
forever (7) -> always (6)
book (4) -> book (4)
scorn (5) -> scorn (5)
series (6) -> set (3)
successful (10) -> winning (7)
gorgeous (8) -> lovely (6)
heightened (10) -> enhanced (8)
promises (8) -> vows (4)
intricate (9) -> complex (7)
machines (8) -> devices (7)
creative (8) -> creative (8)
temperament (11) -> mood (4)
extraordinary (13) -> amazing (7)
gift (4) -> gift (4)
romantic (8) -> dreamy (6)
readiness (9) -> readiness (9)
foul (4) -> foul (4)
dust (4) -> dust (4)
dreams (6) -> hopes (5)
abortive (8) -> failed (6)
elations (8) -> joys (4)
responsiveness (14) -> reaction (8)
riotous (7) -> wild (4)
excursions (10) -> trips (5)
pathfinder (10) -> scout (5)
practical (9) -> useful (6)
rooms (5) -> rooms (5)
country (7) -> land (4)
wide (4) -> wide (4)
friendly (8) -> kind (4)
young (5) -> new (3)
office (6) -> study (5)
house (5) -> home (4)
town (4) -> town (4)
idea (4) -> idea (4)
weatherbeaten (13) -> worn (4)
firm (4) -> firm (4)
old (3) -> old (3)
electric (8) -> powered (7)
wisdom (6) -> wisdom (6)
root@bc17e3cbd220:/app#
