New Terminal Output:

1password2john.py      cardano2john.py                genincstats.rb         leet.pl                   pass_gen.pl           sense2john.py
7z2john.pl             ccache2john.py                 genmkvpwd              lib                       password.lst          sha-dump.pl
DPAPImk2john.py        ccl_chrome_indexeddb           gpg2john               libreoffice2john.py       pcap2john.py          sha-test.pl
adxcsouf2john.py       cisco2john.pl                  hccap2john             lion2john-alt.pl          pdf2john.pl           signal2john.py
aem2john.py            codepage.pl                    hccapx2john.py         lion2john.pl              pdf2john.py           sipdump2john.py
aix2john.pl            coinomi2john.py                hextoraw.pl            lm_ascii.chr              pem2john.py           ssh2john.py
aix2john.py            cprepair                       htdigest2john.py       lotus2john.py             pfx2john.py           sspr2john.py
alnum.chr              cracf2john.py                  hybrid.conf            lower.chr                 pgpdisk2john.py       staroffice2john.py
alnumspace.chr         dashlane2john.py               ibmiscanner2john.py    lowernum.chr              pgpsda2john.py        stats
alpha.chr              deepsound2john.py              ikescan2john.py        lowerspace.chr            pgpwde2john.py        strip2john.py
andotp2john.py         dictionary.rfc2865             ios7tojohn.pl          luks2john.py              pkcs12kdf.py          telegram2john.py
androidbackup2john.py  digits.chr                     itunes_backup2john.pl  mac2john-alt.py           potcheck.pl           test_tezos2john.py
androidfde2john.py     diskcryptor2john.py            iwork2john.py          mac2john.py               prosody2john.py       tezos2john.py
ansible2john.py        dmg2john                       john                   mailer                    protobuf              tgtsnarf
apex2john.py           dmg2john.py                    john.bash_completion   makechr                   ps_token2john.py      tokenize.pl
apop2john.py           dns                            john.conf              mcafee_epo2john.py        pse2john.py           truecrypt2john.py
applenotes2john.py     dumb16.conf                    john.zsh_completion    mkvcalcproba              putty2john            uaf2john
aruba2john.py          dumb32.conf                    jtr_rulez.pm           monero2john.py            pwsafe2john.py        unafs
ascii.chr              dynamic.conf                   jtrconf.pm             money2john.py             racf2john             undrop
atmail2john.pl         dynamic_disabled.conf          kdcdump2john.py        mongodb2john.js           radius2john.pl        unique
axcrypt2john.py        dynamic_flat_sse_formats.conf  keepass2john           mosquitto2john.py         radius2john.py        unisubst.conf
base64conv             ecryptfs2john.py               keplr2john.py          mozilla2john.py           rar2john              unrule.pl
benchmark-unify        ejabberd2john.py               keychain2john.py       multibit2john.py          raw2dyna              unshadow
bestcrypt2john.py      electrum2john.py               keyring2john.py        neo2john.py               regex_alphabets.conf  upper.chr
bestcryptve2john.py    encdatavault2john.py           keystore2john.py       netntlm.pl                relbench              uppernum.chr
bip-0039               encfs2john.py                  kirbi2john.py          netscreen.py              repeats16.conf        utf8.chr
bitcoin2john.py        enpass2john.py                 known_hosts2john.py    network2john.lua          repeats32.conf        vdi2john.pl
bitlocker2john         enpass5tojohn.py               korelogic.conf         office2john.py            restic2john.py        vmx2john.py
bitlocker2john.py      ethereum2john.py               krb2john.py            openbsd_softraid2john.py  rexgen2rules.pl       wpapcap2john
bitshares2john.py      filezilla2john.py              kwallet2john.py        opencl                    rules                 zed2john.py
bitwarden2john.py      fuzz.dic                       lanman.chr             openssl2john.py           rules-by-rate.conf    zip2john
bks2john.py            fuzz_option.pl                 lastpass2john.py       oracle2john.py            rules-by-score.conf   ztex
blockchain2john.py     fvde2john.py                   latin1.chr             oubliette2john.py         rulestack.pl
calc_stat              geli2john.py                   ldif2john.pl           padlock2john.py           sap2john.pl
root@376d5316015b:/app#
